timestamp,ssid,mac,channel,rssi,authmode,hidden
'1605922504','qwerz','00:81:C4:21:4E:02','1','-79','3', '0'
'1605922504','BVG Wi-Fi','00:81:C4:21:4E:00','1','-79','0', '0'
'1605922504','BVG Wi-Fi','00:81:C4:73:FC:90','11','-63','0', '0'
'1605922504','qwerz','00:81:C4:73:FC:92','11','-64','3', '0'
'1605922510','BVG Wi-Fi','00:81:C4:21:4E:00','1','-83','0', '0'
'1605922510','qwerz','00:81:C4:21:4E:02','1','-82','3', '0'
'1605922510','BVG Wi-Fi','00:81:C4:73:FC:90','11','-63','0', '0'
'1605922510','qwerz','00:81:C4:73:FC:92','11','-64','3', '0'
'1605922516','BVG Wi-Fi','00:81:C4:21:4E:00','1','-72','0', '0'
'1605922516','qwerz','00:81:C4:21:4E:02','1','-73','3', '0'
'1605922516','BVG Wi-Fi','00:81:C4:73:FC:90','11','-34','0', '0'
'1605922516','qwerz','00:81:C4:73:FC:92','11','-45','3', '0'
'1605922521','BVG Wi-Fi','00:81:C4:21:4E:00','1','-45','0', '0'
'1605922521','qwerz','00:81:C4:21:4E:02','1','-53','3', '0'
'1605922521','BVG Wi-Fi','00:81:C4:73:FC:90','11','-49','0', '0'
'1605922521','qwerz','00:81:C4:73:FC:92','11','-50','3', '0'
'1605922527','BVG Wi-Fi','00:81:C4:21:4E:00','1','-77','0', '0'
'1605922527','qwerz','00:81:C4:21:4E:02','1','-77','3', '0'
'1605922527','BVG Wi-Fi','00:81:C4:73:FC:90','11','-62','0', '0'
'1605922527','qwerz','00:81:C4:73:FC:92','11','-62','3', '0'
'1605922532','BVG Wi-Fi','00:81:C4:21:4E:00','1','-73','0', '0'
'1605922532','qwerz','00:81:C4:21:4E:02','1','-74','3', '0'
'1605922532','BVG Wi-Fi','00:81:C4:73:FC:90','11','-68','0', '0'
'1605922532','qwerz','00:81:C4:73:FC:92','11','-67','3', '0'
'1605922538','BVG Wi-Fi','00:81:C4:21:4E:00','1','-72','0', '0'
'1605922538','qwerz','00:81:C4:21:4E:02','1','-72','3', '0'
'1605922538','BVG Wi-Fi','00:81:C4:73:FC:90','11','-69','0', '0'
'1605922538','qwerz','00:81:C4:73:FC:92','11','-69','3', '0'
'1605922543','qwerz','00:81:C4:21:4E:02','1','-77','3', '0'
'1605922543','BVG Wi-Fi','00:81:C4:21:4E:00','1','-78','0', '0'
'1605922543','BVGMDA','70:79:B3:69:25:61','1','-86','3', '0'
'1605922543','BVG Wi-Fi','70:79:B3:69:25:62','1','-85','0', '0'
'1605922544','BVG Wi-Fi','00:81:C4:73:FC:90','11','-72','0', '0'
'1605922544','qwerz','00:81:C4:73:FC:92','11','-73','3', '0'
'1605922549','qwerz','00:81:C4:21:4E:02','1','-75','3', '0'
'1605922549','Employee','70:79:B3:69:25:63','1','-84','5', '0'
'1605922549','BVG Wi-Fi','00:81:C4:21:4E:00','1','-76','0', '0'
'1605922549','BVGMDA','70:79:B3:69:25:61','1','-83','3', '0'
'1605922549','BVG Wi-Fi','70:79:B3:69:25:62','1','-83','0', '0'
'1605922549','BVG Wi-Fi','00:81:C4:73:FC:90','11','-73','0', '0'
'1605922550','qwerz','00:81:C4:73:FC:92','11','-74','3', '0'
'1605922555','BVGMDA','70:79:B3:69:25:61','1','-89','3', '0'
'1605922555','BVG Wi-Fi','70:79:B3:69:25:62','1','-88','0', '0'
'1605922555','Employee','70:79:B3:69:25:63','1','-87','5', '0'
'1605922555','qwerz','00:81:C4:21:4E:02','1','-83','3', '0'
'1605922555','BVG Wi-Fi','00:81:C4:73:FC:90','11','-82','0', '0'
'1605922555','qwerz','00:81:C4:73:FC:92','11','-84','3', '0'
'1605922561','qwerz','00:81:C4:21:4E:02','1','-83','3', '0'
'1605922561','BVG Wi-Fi','00:81:C4:21:4E:00','1','-86','0', '0'
'1605922561','BVG Wi-Fi','00:81:C4:73:FC:90','11','-78','0', '0'
'1605922561','qwerz','00:81:C4:73:FC:92','11','-78','3', '0'
'1605922566','BVG Wi-Fi','00:81:C4:21:4E:00','1','-84','0', '0'
'1605922567','qwerz','00:81:C4:21:4E:02','1','-84','3', '0'
'1605922567','BVG Wi-Fi','00:81:C4:73:FC:90','11','-79','0', '0'
'1605922567','qwerz','00:81:C4:73:FC:92','11','-80','3', '0'
'1605922572','qwerz','00:81:C4:21:4E:02','1','-79','3', '0'
'1605922572','BVG Wi-Fi','00:81:C4:21:4E:00','1','-78','0', '0'
'1605922572','qwerz','00:81:C4:73:FC:92','11','-83','3', '0'
'1605922572','BVG Wi-Fi','00:81:C4:73:FC:90','11','-84','0', '0'
'1605922578','BVG Wi-Fi','00:81:C4:21:4E:00','1','-71','0', '0'
'1605922578','qwerz','00:81:C4:21:4E:02','1','-71','3', '0'
'1605922578','qwerz','00:81:C4:73:FC:92','11','-80','3', '0'
'1605922578','BVG Wi-Fi','00:81:C4:73:FC:90','11','-81','0', '0'
'1605922584','qwerz','00:81:C4:21:4E:02','1','-77','3', '0'
'1605922584','qwerz','00:81:C4:73:FC:92','11','-80','3', '0'
'1605922584','BVG Wi-Fi','00:81:C4:73:FC:90','11','-81','0', '0'
'1605922589','qwerz','00:81:C4:21:4E:02','1','-74','3', '0'
'1605922589','Employee','70:79:B3:69:25:63','1','-87','5', '0'
'1605922589','qwerz','00:81:C4:73:FC:92','11','-80','3', '0'
'1605922589','BVG Wi-Fi','00:81:C4:73:FC:90','11','-83','0', '0'
'1605922595','BVG Wi-Fi','00:81:C4:21:4E:00','1','-71','0', '0'
'1605922595','qwerz','00:81:C4:21:4E:02','1','-70','3', '0'
'1605922595','Employee','70:79:B3:69:25:63','1','-87','5', '0'
'1605922595','BVG Wi-Fi','00:81:C4:73:FC:90','11','-79','0', '0'
'1605922595','qwerz','00:81:C4:73:FC:92','11','-81','3', '0'
'1605922600','Employee','70:79:B3:69:25:63','1','-88','5', '0'
'1605922600','BVG Wi-Fi','00:81:C4:21:4E:00','1','-75','0', '0'
'1605922601','qwerz','00:81:C4:21:4E:02','1','-75','3', '0'
'1605922601','BVG Wi-Fi','00:81:C4:73:FC:90','11','-82','0', '0'
'1605922601','qwerz','00:81:C4:73:FC:92','11','-80','3', '0'
'1605922606','BVG Wi-Fi','00:81:C4:21:4E:00','1','-62','0', '0'
'1605922606','qwerz','00:81:C4:21:4E:02','1','-62','3', '0'
'1605922606','BVG Wi-Fi','00:81:C4:73:FC:90','11','-81','0', '0'
'1605922606','qwerz','00:81:C4:73:FC:92','11','-82','3', '0'
'1605922612','BVG Wi-Fi','00:81:C4:21:4E:00','1','-63','0', '0'
'1605922612','qwerz','00:81:C4:21:4E:02','1','-62','3', '0'
'1605922612','qwerz','00:81:C4:73:FC:92','11','-80','3', '0'
'1605922612','BVG Wi-Fi','00:81:C4:73:FC:90','11','-84','0', '0'
'1605922617','BVG Wi-Fi','00:81:C4:21:4E:00','1','-64','0', '0'
'1605922617','qwerz','00:81:C4:21:4E:02','1','-65','3', '0'
'1605922617','BVG Wi-Fi','00:81:C4:73:FC:90','11','-75','0', '0'
'1605922618','qwerz','00:81:C4:73:FC:92','11','-75','3', '0'
'1605922623','BVG Wi-Fi','00:81:C4:21:4E:00','1','-68','0', '0'
'1605922623','qwerz','00:81:C4:21:4E:02','1','-67','3', '0'
'1605922623','BVG Wi-Fi','00:81:C4:73:FC:90','11','-72','0', '0'
'1605922623','qwerz','00:81:C4:73:FC:92','11','-73','3', '0'
'1605922629','BVG Wi-Fi','00:81:C4:21:4E:00','1','-52','0', '0'
'1605922629','qwerz','00:81:C4:21:4E:02','1','-53','3', '0'
'1605922629','BVG Wi-Fi','00:81:C4:73:FC:90','11','-57','0', '0'
'1605922629','qwerz','00:81:C4:73:FC:92','11','-56','3', '0'
'1605922634','BVG Wi-Fi','00:81:C4:21:4E:00','1','-33','0', '0'
'1605922634','qwerz','00:81:C4:21:4E:02','1','-36','3', '0'
'1605922634','BVG Wi-Fi','00:81:C4:73:FC:90','11','-72','0', '0'
'1605922635','qwerz','00:81:C4:73:FC:92','11','-72','3', '0'
'1605922640','BVG Wi-Fi','00:81:C4:21:4E:00','1','-62','0', '0'
'1605922640','qwerz','00:81:C4:21:4E:02','1','-62','3', '0'
'1605922640','BVG Wi-Fi','00:81:C4:73:FC:90','11','-77','0', '0'
'1605922640','qwerz','00:81:C4:73:FC:92','11','-77','3', '0'
'1605922646','BVG Wi-Fi','00:81:C4:21:4E:00','1','-63','0', '0'
'1605922646','qwerz','00:81:C4:21:4E:02','1','-65','3', '0'
'1605922646','qwerz','00:81:C4:73:FC:92','11','-82','3', '0'
'1605922646','BVG Wi-Fi','00:81:C4:73:FC:90','11','-81','0', '0'
'1605922651','BVG Wi-Fi','00:81:C4:21:4E:00','1','-67','0', '0'
'1605922651','qwerz','00:81:C4:21:4E:02','1','-67','3', '0'
'1605922651','BVG Wi-Fi','00:81:C4:73:FC:90','11','-79','0', '0'
'1605922652','qwerz','00:81:C4:73:FC:92','11','-78','3', '0'
'1605922657','BVG Wi-Fi','00:81:C4:21:4E:00','1','-68','0', '0'
'1605922657','qwerz','00:81:C4:21:4E:02','1','-67','3', '0'
'1605922657','qwerz','00:81:C4:73:FC:92','11','-83','3', '0'
'1605922657','BVG Wi-Fi','00:81:C4:73:FC:90','11','-83','0', '0'
'1605922663','BVG Wi-Fi','00:81:C4:21:4E:00','1','-66','0', '0'
'1605922663','qwerz','00:81:C4:21:4E:02','1','-67','3', '0'
'1605922663','qwerz','00:81:C4:73:FC:92','11','-82','3', '0'
'1605922663','BVG Wi-Fi','00:81:C4:73:FC:90','11','-81','0', '0'
'1605922668','qwerz','00:81:C4:21:4E:02','1','-78','3', '0'
'1605922669','BVG Wi-Fi','00:81:C4:21:4E:00','1','-78','0', '0'
'1605922670','qwerz','00:81:C4:73:FC:92','11','-86','3', '0'
'1605922670','BVG Wi-Fi','00:81:C4:73:FC:90','11','-83','0', '0'
'1605922675','qwerz','00:81:C4:21:4E:02','1','-81','3', '0'
'1605922675','BVG Wi-Fi','00:81:C4:21:4E:00','1','-80','0', '0'
'1605922675','BVG Wi-Fi','00:81:C4:73:FC:90','11','-77','0', '0'
'1605922675','qwerz','00:81:C4:73:FC:92','11','-77','3', '0'
'1605922681','qwerz','00:81:C4:21:4E:02','1','-77','3', '0'
'1605922681','BVG Wi-Fi','00:81:C4:21:4E:00','1','-80','0', '0'
'1605922681','BVG Wi-Fi','00:81:C4:73:FC:90','11','-74','0', '0'
'1605922681','qwerz','00:81:C4:73:FC:92','11','-73','3', '0'
'1605922686','BVG Wi-Fi','00:81:C4:21:4E:00','1','-73','0', '0'
'1605922686','qwerz','00:81:C4:21:4E:02','1','-73','3', '0'
'1605922686','BVG Wi-Fi','00:81:C4:73:FC:90','11','-79','0', '0'
'1605922687','qwerz','00:81:C4:73:FC:92','11','-78','3', '0'
'1605922692','qwerz','00:81:C4:21:4E:02','1','-76','3', '0'
'1605922692','BVG Wi-Fi','00:81:C4:73:FC:90','11','-75','0', '0'
'1605922692','qwerz','00:81:C4:73:FC:92','11','-76','3', '0'
'1605922697','qwerz','00:81:C4:21:4E:02','1','-83','3', '0'
'1605922697','BVG Wi-Fi','00:81:C4:21:4E:00','1','-85','0', '0'
'1605922697','BVG Wi-Fi','00:81:C4:73:FC:90','11','-75','0', '0'
'1605922697','qwerz','00:81:C4:73:FC:92','11','-75','3', '0'
'1605922703','qwerz','00:81:C4:21:4E:02','1','-77','3', '0'
'1605922703','BVG Wi-Fi','00:81:C4:21:4E:00','1','-81','0', '0'
'1605922703','BVG Wi-Fi','00:81:C4:73:FC:90','11','-70','0', '0'
'1605922703','qwerz','00:81:C4:73:FC:92','11','-73','3', '0'
'1605922708','BVG Wi-Fi','00:81:C4:21:4E:00','1','-75','0', '0'
'1605922708','qwerz','00:81:C4:21:4E:02','1','-73','3', '0'
'1605922708','BVG Wi-Fi','00:81:C4:73:FC:90','11','-72','0', '0'
'1605922709','qwerz','00:81:C4:73:FC:92','11','-73','3', '0'
'1605922714','BVG Wi-Fi','00:81:C4:21:4E:00','1','-69','0', '0'
'1605922714','qwerz','00:81:C4:21:4E:02','1','-68','3', '0'
'1605922714','BVG Wi-Fi','00:81:C4:73:FC:90','11','-72','0', '0'
'1605922714','qwerz','00:81:C4:73:FC:92','11','-72','3', '0'
'1605922719','BVG Wi-Fi','00:81:C4:21:4E:00','1','-74','0', '0'
'1605922719','qwerz','00:81:C4:21:4E:02','1','-74','3', '0'
'1605922720','BVG Wi-Fi','00:81:C4:73:FC:90','11','-60','0', '0'
'1605922720','qwerz','00:81:C4:73:FC:92','11','-60','3', '0'
'1605922725','BVG Wi-Fi','00:81:C4:21:4E:00','1','-74','0', '0'
'1605922725','qwerz','00:81:C4:21:4E:02','1','-73','3', '0'
'1605922725','BVG Wi-Fi','00:81:C4:73:FC:90','11','-57','0', '0'
'1605922725','qwerz','00:81:C4:73:FC:92','11','-60','3', '0'
'1605922731','BVG Wi-Fi','00:81:C4:21:4E:00','1','-75','0', '0'
'1605922731','qwerz','00:81:C4:21:4E:02','1','-76','3', '0'
'1605922731','BVG Wi-Fi','00:81:C4:73:FC:90','11','-56','0', '0'
'1605922731','qwerz','00:81:C4:73:FC:92','11','-57','3', '0'
'1605922736','BVG Wi-Fi','00:81:C4:21:4E:00','1','-75','0', '0'
'1605922736','qwerz','00:81:C4:21:4E:02','1','-74','3', '0'
'1605922736','BVG Wi-Fi','00:81:C4:73:FC:90','11','-53','0', '0'
'1605922737','qwerz','00:81:C4:73:FC:92','11','-53','3', '0'
'1605922742','BVG Wi-Fi','00:81:C4:21:4E:00','1','-62','0', '0'
'1605922742','qwerz','00:81:C4:21:4E:02','1','-62','3', '0'
'1605922742','BVG Wi-Fi','00:81:C4:73:FC:90','11','-39','0', '0'
'1605922742','qwerz','00:81:C4:73:FC:92','11','-39','3', '0'
'1605922747','BVG Wi-Fi','00:81:C4:21:4E:00','1','-56','0', '0'
'1605922748','qwerz','00:81:C4:21:4E:02','1','-56','3', '0'
'1605922748','BVG Wi-Fi','00:81:C4:73:FC:90','11','-42','0', '0'
'1605922748','qwerz','00:81:C4:73:FC:92','11','-51','3', '0'
'1605922753','BVG Wi-Fi','00:81:C4:21:4E:00','1','-68','0', '0'
'1605922753','qwerz','00:81:C4:21:4E:02','1','-67','3', '0'
'1605922753','BVG Wi-Fi','00:81:C4:73:FC:90','11','-60','0', '0'
'1605922753','qwerz','00:81:C4:73:FC:92','11','-61','3', '0'
