'1605928761','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-59','3', '0'
'1605928761','BVG Wi-Fi','00:81:C4:F8:84:40','1','-70','0', '0'
'1605928761','qwerz','00:81:C4:F8:84:42','1','-70','3', '0'
'1605928761','BVG Wi-Fi','00:81:C4:21:59:D0','6','-79','0', '0'
'1605928761','qwerz','00:81:C4:21:59:D2','6','-79','3', '0'
'1605928761','BVG Wi-Fi','00:81:C4:E6:70:80','6','-78','0', '0'
'1605928761','qwerz','00:81:C4:E6:70:82','6','-79','3', '0'
'1605928761','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-59','0', '0'
'1605928761','qwerz','00:81:C4:F8:84:B2','11','-59','3', '0'
'1605928767','BVG Wi-Fi','00:81:C4:F8:84:40','1','-76','0', '0'
'1605928767','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-64','3', '0'
'1605928767','qwerz','00:81:C4:F8:84:42','1','-75','3', '0'
'1605928767','BVG Wi-Fi','00:81:C4:E6:70:80','6','-70','0', '0'
'1605928767','qwerz','00:81:C4:E6:70:82','6','-71','3', '0'
'1605928767','qwerz','00:81:C4:21:59:D2','6','-84','3', '0'
'1605928767','BVG Wi-Fi','00:81:C4:21:59:D0','6','-87','0', '0'
'1605928767','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-71','0', '0'
'1605928767','qwerz','00:81:C4:F8:84:B2','11','-71','3', '0'
'1605928772','BVG Wi-Fi','00:81:C4:F8:84:40','1','-71','0', '0'
'1605928772','qwerz','00:81:C4:F8:84:42','1','-71','3', '0'
'1605928773','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-72','3', '0'
'1605928773','BVG Wi-Fi','00:81:C4:21:59:D0','6','-83','0', '0'
'1605928773','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-70','0', '0'
'1605928773','qwerz','00:81:C4:F8:84:B2','11','-71','3', '0'
'1605928773','qwerz','00:81:C4:9D:74:F2','1','-84','3', '0'
'1605928778','BVG Wi-Fi','00:81:C4:F8:84:40','1','-72','0', '0'
'1605928778','qwerz','00:81:C4:F8:84:42','1','-71','3', '0'
'1605928778','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-74','3', '0'
'1605928778','qwerz','00:81:C4:9D:74:F2','1','-86','3', '0'
'1605928779','BVG Wi-Fi','00:81:C4:9D:74:F0','1','-83','0', '0'
'1605928779','BVG Wi-Fi','00:81:C4:E6:70:80','6','-63','0', '0'
'1605928779','qwerz','00:81:C4:21:59:D2','6','-85','3', '0'
'1605928779','qwerz','00:81:C4:E6:70:82','6','-62','3', '0'
'1605928779','BVG Wi-Fi','00:81:C4:21:59:D0','6','-83','0', '0'
'1605928779','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-71','0', '0'
'1605928779','qwerz','00:81:C4:F8:84:B2','11','-71','3', '0'
'1605928784','qwerz','00:81:C4:9D:74:F2','1','-78','3', '0'
'1605928784','BVG Wi-Fi','00:81:C4:9D:74:F0','1','-77','0', '0'
'1605928785','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-76','3', '0'
'1605928785','BVG Wi-Fi','00:81:C4:F8:84:40','1','-78','0', '0'
'1605928785','qwerz','00:81:C4:F8:84:42','1','-76','3', '0'
'1605928785','BVG Wi-Fi','00:81:C4:E6:70:80','6','-54','0', '0'
'1605928785','qwerz','00:81:C4:E6:70:82','6','-54','3', '0'
'1605928786','qwerz','00:81:C4:21:59:D2','6','-85','3', '0'
'1605928786','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-72','0', '0'
'1605928787','qwerz','00:81:C4:F8:84:B2','11','-72','3', '0'
'1605928792','BVG Wi-Fi','00:81:C4:9D:74:F0','1','-73','0', '0'
'1605928792','qwerz','00:81:C4:9D:74:F2','1','-72','3', '0'
'1605928792','qwerz','00:81:C4:F8:84:42','1','-86','3', '0'
'1605928792','BVG Wi-Fi','00:81:C4:F8:84:40','1','-81','0', '0'
'1605928792','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-83','3', '0'
'1605928792','BVG Wi-Fi','00:81:C4:E6:70:80','6','-52','0', '0'
'1605928792','qwerz','00:81:C4:E6:70:82','6','-52','3', '0'
'1605928793','qwerz','00:81:C4:21:59:D2','6','-83','3', '0'
'1605928793','BVG Wi-Fi','00:81:C4:21:59:D0','6','-84','0', '0'
'1605928793','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-73','0', '0'
'1605928793','qwerz','00:81:C4:F8:84:B2','11','-72','3', '0'
'1605928793','FSD','00:1E:42:14:C4:A3','11','-86','3', '0'
'1605928798','BVG Wi-Fi','00:81:C4:9D:74:F0','1','-70','0', '0'
'1605928798','qwerz','00:81:C4:9D:74:F2','1','-71','3', '0'
'1605928799','qwerz','00:81:C4:F8:84:42','1','-79','3', '0'
'1605928799','BVG Wi-Fi','00:81:C4:F8:84:40','1','-79','0', '0'
'1605928799','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-88','3', '0'
'1605928799','BVG Wi-Fi','00:81:C4:E6:70:80','6','-58','0', '0'
'1605928799','qwerz','00:81:C4:E6:70:82','6','-58','3', '0'
'1605928799','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-76','0', '0'
'1605928799','qwerz','00:81:C4:F8:84:B2','11','-77','3', '0'
'1605928800','FSD','00:1E:42:14:C4:A3','11','-92','3', '0'
'1605928805','BVG Wi-Fi','00:81:C4:F8:84:40','1','-74','0', '0'
'1605928805','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-88','3', '0'
'1605928805','qwerz','00:81:C4:F8:84:42','1','-74','3', '0'
'1605928805','BVG Wi-Fi','00:81:C4:9D:74:F0','1','-87','0', '0'
'1605928805','BVG Wi-Fi','00:81:C4:E6:70:80','6','-36','0', '0'
'1605928805','qwerz','00:81:C4:E6:70:82','6','-36','3', '0'
'1605928805','BVG Wi-Fi','00:81:C4:21:59:D0','6','-84','0', '0'
'1605928805','qwerz','00:81:C4:21:59:D2','6','-85','3', '0'
'1605928805','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-76','0', '0'
'1605928805','qwerz','00:81:C4:F8:84:B2','11','-78','3', '0'
'1605928806','qwerz','00:81:C4:9D:74:F2','1','-88','3', '0'
'1605928811','BVG Wi-Fi','00:81:C4:F8:84:40','1','-70','0', '0'
'1605928811','qwerz','00:81:C4:F8:84:42','1','-70','3', '0'
'1605928811','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-84','3', '0'
'1605928811','qwerz','00:81:C4:9D:74:F2','1','-84','3', '0'
'1605928811','BVG Wi-Fi','00:81:C4:E6:70:80','6','-55','0', '0'
'1605928811','qwerz','00:81:C4:E6:70:82','6','-55','3', '0'
'1605928811','qwerz','00:81:C4:21:59:D2','6','-84','3', '0'
'1605928811','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-76','0', '0'
'1605928811','qwerz','00:81:C4:F8:84:B2','11','-76','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:F8:84:40','1','-65','0', '0'
'1605928817','qwerz','00:81:C4:F8:84:42','1','-65','3', '0'
'1605928817','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-79','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:E6:70:80','6','-69','0', '0'
'1605928817','qwerz','00:81:C4:E6:70:82','6','-70','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:21:59:D0','6','-86','0', '0'
'1605928817','qwerz','00:81:C4:21:59:D2','6','-86','3', '0'
'1605928817','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-74','0', '0'
'1605928818','qwerz','00:81:C4:F8:84:B2','11','-74','3', '0'
'1605928823','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-70','3', '0'
'1605928823','BVG Wi-Fi','00:81:C4:F8:84:40','1','-66','0', '0'
'1605928823','qwerz','00:81:C4:F8:84:42','1','-67','3', '0'
'1605928823','BVG Wi-Fi','00:81:C4:E6:70:80','6','-73','0', '0'
'1605928823','qwerz','00:81:C4:E6:70:82','6','-72','3', '0'
'1605928823','BVG Wi-Fi','00:81:C4:21:59:D0','6','-85','0', '0'
'1605928823','qwerz','00:81:C4:21:59:D2','6','-86','3', '0'
'1605928823','qwerz','00:81:C4:F8:84:B2','11','-72','3', '0'
'1605928824','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-73','0', '0'
'1605928829','BVG Wi-Fi','00:81:C4:F8:84:40','1','-62','0', '0'
'1605928829','qwerz','00:81:C4:F8:84:42','1','-62','3', '0'
'1605928829','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-67','3', '0'
'1605928829','qwerz','00:81:C4:21:59:D2','6','-80','3', '0'
'1605928829','BVG Wi-Fi','00:81:C4:E6:70:80','6','-77','0', '0'
'1605928829','qwerz','00:81:C4:E6:70:82','6','-73','3', '0'
'1605928830','BVG Wi-Fi','00:81:C4:21:59:D0','6','-82','0', '0'
'1605928830','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-72','0', '0'
'1605928830','qwerz','00:81:C4:F8:84:B2','11','-72','3', '0'
'1605928830','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-86','0', '0'
'1605928830','qwerz','00:81:C4:E6:92:B2','11','-86','3', '0'
'1605928835','BVG Wi-Fi','00:81:C4:F8:84:40','1','-64','0', '0'
'1605928835','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-63','3', '0'
'1605928836','qwerz','00:81:C4:F8:84:42','1','-63','3', '0'
'1605928836','BVG Wi-Fi','00:81:C4:E6:70:80','6','-72','0', '0'
'1605928836','BVG Wi-Fi','00:81:C4:21:59:D0','6','-82','0', '0'
'1605928836','qwerz','00:81:C4:E6:70:82','6','-73','3', '0'
'1605928836','qwerz','00:81:C4:21:59:D2','6','-82','3', '0'
'1605928836','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-61','0', '0'
'1605928836','qwerz','00:81:C4:F8:84:B2','11','-62','3', '0'
'1605928842','BVG Wi-Fi','00:81:C4:F8:84:40','1','-53','0', '0'
'1605928842','qwerz','00:81:C4:F8:84:42','1','-54','3', '0'
'1605928842','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-73','3', '0'
'1605928842','qwerz','00:81:C4:E6:70:82','6','-75','3', '0'
'1605928842','qwerz','00:81:C4:21:59:D2','6','-81','3', '0'
'1605928842','BVG Wi-Fi','00:81:C4:E6:70:80','6','-80','0', '0'
'1605928842','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-69','0', '0'
'1605928842','qwerz','00:81:C4:F8:84:B2','11','-69','3', '0'
'1605928843','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-86','0', '0'
'1605928843','qwerz','00:81:C4:E6:92:B2','11','-85','3', '0'
'1605928848','BVG Wi-Fi','00:81:C4:F8:84:40','1','-38','0', '0'
'1605928848','qwerz','00:81:C4:F8:84:42','1','-38','3', '0'
'1605928848','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-83','3', '0'
'1605928848','qwerz','00:81:C4:E6:70:82','6','-85','3', '0'
'1605928848','qwerz','00:81:C4:21:59:D2','6','-77','3', '0'
'1605928848','BVG Wi-Fi','00:81:C4:21:59:D0','6','-77','0', '0'
'1605928848','BVG Wi-Fi','00:81:C4:E6:70:80','6','-81','0', '0'
'1605928848','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-65','0', '0'
'1605928848','qwerz','00:81:C4:F8:84:B2','11','-66','3', '0'
'1605928849','qwerz','00:81:C4:E6:92:B2','11','-86','3', '0'
'1605928849','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-87','0', '0'
'1605928854','BVG Wi-Fi','00:81:C4:F8:84:40','1','-65','0', '0'
'1605928854','qwerz','00:81:C4:F8:84:42','1','-66','3', '0'
'1605928854','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-85','3', '0'
'1605928854','BVG Wi-Fi','00:81:C4:21:59:D0','6','-72','0', '0'
'1605928854','qwerz','00:81:C4:21:59:D2','6','-72','3', '0'
'1605928856','BVG Wi-Fi','00:81:C4:E6:70:80','6','-76','0', '0'
'1605928856','qwerz','00:81:C4:E6:70:82','6','-80','3', '0'
'1605928856','qwerz','00:81:C4:F8:84:B2','11','-64','3', '0'
'1605928856','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-62','0', '0'
'1605928856','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-81','0', '0'
'1605928856','qwerz','00:81:C4:E6:92:B2','11','-81','3', '0'
'1605928861','BVG Wi-Fi','00:81:C4:F8:84:40','1','-65','0', '0'
'1605928861','qwerz','00:81:C4:F8:84:42','1','-64','3', '0'
'1605928862','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-89','3', '0'
'1605928862','BVG Wi-Fi','00:81:C4:21:59:D0','6','-71','0', '0'
'1605928862','qwerz','00:81:C4:21:59:D2','6','-71','3', '0'
'1605928862','BVG Wi-Fi','00:81:C4:E6:70:80','6','-86','0', '0'
'1605928862','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-65','0', '0'
'1605928862','qwerz','00:81:C4:F8:84:B2','11','-65','3', '0'
'1605928862','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-78','0', '0'
'1605928862','qwerz','00:81:C4:E6:92:B2','11','-77','3', '0'
'1605928868','BVG Wi-Fi','00:81:C4:F8:84:40','1','-65','0', '0'
'1605928868','qwerz','00:81:C4:F8:84:42','1','-65','3', '0'
'1605928868','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-88','3', '0'
'1605928868','BVG Wi-Fi','00:81:C4:21:59:D0','6','-71','0', '0'
'1605928868','qwerz','00:81:C4:E6:70:82','6','-84','3', '0'
'1605928868','qwerz','00:81:C4:21:59:D2','6','-70','3', '0'
'1605928868','qwerz','00:81:C4:F8:84:B2','11','-70','3', '0'
'1605928868','BVG Wi-Fi','00:81:C4:E6:92:B0','11','-75','0', '0'
'1605928868','qwerz','00:81:C4:E6:92:B2','11','-76','3', '0'
'1605928869','BVG Wi-Fi','00:81:C4:F8:84:B0','11','-72','0', '0'
'1605928874','BVG Wi-Fi','00:81:C4:F8:84:40','1','-71','0', '0'
'1605928874','qwerz','00:81:C4:F8:84:42','1','-70','3', '0'
'1605928874','HUAWEI-ZamZam','34:7E:00:EF:FC:9B','1','-90','3', '0'
